name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"fuel_CERRO_PABELLON_U1",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_CERRO_PABELLON_U2",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_CERRO_PABELLON_U3",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_TRES_AGUAS",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1212.667,1000000,false
"fuel_LOMA_LOS_COLORADOS_1",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_LOMA_LOS_COLORADOS_2",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_SANTA_MARTA",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_ARAUCO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,25.4,1000000,false
"fuel_CELCO_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,20.48,1000000,false
"fuel_CHOLGUAN_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,30.35,1000000,false
"fuel_CMPC_LAJA_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_CMPC_LAJA_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,44.36,1000000,false
"fuel_CMPC_LAJA_BL3",1970-01-01-00:00,2100-01-01-00:00,true,biomass,59.29,1000000,false
"fuel_CMPC_LAJA_BL4",1970-01-01-00:00,2100-01-01-00:00,true,biomass,128.9,1000000,false
"fuel_CMPC_LAJA_BL5",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,569.34,1000000,false
"fuel_CMPC_PACIFICO_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_CMPC_PACIFICO_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,33.83,1000000,false
"fuel_CMPC_PACIFICO_BL3",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,573.3,1000000,false
"fuel_ENERGIA_PACIFICO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,31.81,1000000,false
"fuel_ESCUADRON",1970-01-01-00:00,2100-01-01-00:00,true,biomass,29.72,1000000,false
"fuel_LAJA-EVE_1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,16.8,1000000,false
"fuel_LAJA-EVE_2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_LAUTARO_1_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,10.16,1000000,false
"fuel_LAUTARO_1_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,16.51,1000000,false
"fuel_LAUTARO_2_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,18.5,1000000,false
"fuel_LAUTARO_2_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,38.12,1000000,false
"fuel_LICANTEN_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_LICANTEN_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,25.61,1000000,false
"fuel_MAPA",1970-01-01-00:00,2100-01-01-00:00,true,biomass,21.126,1000000,false
"fuel_MASISA",1970-01-01-00:00,2100-01-01-00:00,true,biomass,28.96,1000000,false
"fuel_NUEVA_ALDEA_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_NUEVA_ALDEA_BL3",1970-01-01-00:00,2100-01-01-00:00,true,biomass,8.28,1000000,false
"fuel_NUEVA_ALDEA_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_SANTA_FE_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,8.93,1000000,false
"fuel_SANTA_FE_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,16.99,1000000,false
"fuel_SANTA_FE_BL3",1970-01-01-00:00,2100-01-01-00:00,true,biomass,29.9,1000000,false
"fuel_VALDIVIA_BL1_PINO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_VALDIVIA_BL1_EUCA",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_VALDIVIA_BL2_PINO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_VALDIVIA_BL2_EUCA",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_VALDIVIA_BL3_PINO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,24.46,1000000,false
"fuel_VALDIVIA_BL3_EUCA",1970-01-01-00:00,2100-01-01-00:00,true,biomass,24.46,1000000,false
"fuel_VINALES_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_VINALES_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,28.28,1000000,false
"fuel_ANDINA",1970-01-01-00:00,2100-01-01-00:00,true,coal,448.24,1000000,false
"fuel_ANGAMOS_1",1970-01-01-00:00,2100-01-01-00:00,true,coal,357.14,1000000,false
"fuel_ANGAMOS_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,357.14,1000000,false
"fuel_CAMPICHE",1970-01-01-00:00,2100-01-01-00:00,true,coal,377.32,1000000,false
"fuel_COCHRANE_1",1970-01-01-00:00,2100-01-01-00:00,true,coal,390.26,1000000,false
"fuel_COCHRANE_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,390.26,1000000,false
"fuel_GUACOLDA_1",1970-01-01-00:00,2100-01-01-00:00,true,coal,366.72,1000000,false
"fuel_GUACOLDA_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,366.72,1000000,false
"fuel_GUACOLDA_3",1970-01-01-00:00,2100-01-01-00:00,true,coal,352.17,1000000,false
"fuel_GUACOLDA_4",1970-01-01-00:00,2100-01-01-00:00,true,coal,343.85,1000000,false
"fuel_GUACOLDA_5",1970-01-01-00:00,2100-01-01-00:00,true,coal,370.13,1000000,false
"fuel_HORNITOS",1970-01-01-00:00,2100-01-01-00:00,true,coal,438.02,1000000,false
"fuel_IE_MEJILLONES",1970-01-01-00:00,2100-01-01-00:00,true,coal,424.59,1000000,false
"fuel_MEJILLONES_1",1970-01-01-00:00,2100-01-01-00:00,true,coal,417.76,1000000,false
"fuel_MEJILLONES_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,417.76,1000000,false
"fuel_NUEVA_TOCOPILLA_1",1970-01-01-00:00,2100-01-01-00:00,true,coal,371.44,1000000,false
"fuel_NUEVA_TOCOPILLA_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,371.44,1000000,false
"fuel_NUEVA_VENTANAS",1970-01-01-00:00,2100-01-01-00:00,true,coal,377.32,1000000,false
"fuel_SANTA_MARIA",1970-01-01-00:00,2100-01-01-00:00,true,coal,172.33,1000000,false
"fuel_VENTANAS_2",1970-01-01-00:00,2100-01-01-00:00,true,coal,396.04,1000000,false
"fuel_ATA-TG1A_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG1B_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,174.38,1000000,false
"fuel_ATA-TG2A_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG2B_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_CANDELARIA_1_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,408.22,1000000,false
"fuel_CANDELARIA_2_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,408.22,1000000,false
"fuel_CORONEL_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,590.09,1000000,false
"fuel_MEJILLONES_3-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_MEJILLONES_3-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_NEHUENCO_1-FA_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEHUENCO_1-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEHUENCO_1-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEHUENCO_2-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEHUENCO_2-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEHUENCO_9B_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,397.73,1000000,false
"fuel_NEWEN_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,302.95,1000000,false
"fuel_COLMITO_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,571.9,1000000,false
"fuel_CMPC_CORDILLERA_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,410.77,1000000,false
"fuel_NUEVA_RENCA-FA_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,373.44,1000000,false
"fuel_NUEVA_RENCA-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,373.44,1000000,false
"fuel_NUEVA_RENCA-TG+TV_GN_B",1970-01-01-00:00,2100-01-01-00:00,true,gas,369.27,1000000,false
"fuel_LOS_VIENTOS_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,418.14,1000000,false
"fuel_QUINTERO_1A_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,373.78,1000000,false
"fuel_QUINTERO_1B_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,373.78,1000000,false
"fuel_SAN_ISIDRO_2-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO_2-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO_2-TG+TV-FSTVU_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO-FA_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_SAN_ISIDRO-TG+TV-FSTVD_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,372.15,1000000,false
"fuel_TALTAL_1_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_TALTAL_2_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_TOCOPILLA_U16-TG_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_TOCOPILLA_U16-TG+TV_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_TOCOPILLA-TG3_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,174.38,1000000,false
"fuel_YUNGAY_U1_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,590.35,1000000,false
"fuel_YUNGAY_U2_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,590.35,1000000,false
"fuel_YUNGAY_U3_GN_A",1970-01-01-00:00,2100-01-01-00:00,true,gas,590.35,1000000,false
"fuel_ATA-TG1A_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG1A_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG1A_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1A_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG1A_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG1A_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG1A+0.5TV1C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG1A+TG1B+TV1C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1B_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG1B_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG1B_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1B_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG1B_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG1B_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG1B+0.5TV1C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG2A_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG2A_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG2A_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG2A_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG2A+0.5TV2C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG2A+TG2B+TV2C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2B_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG2B_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG2B_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2B_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG2B_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG2B_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,449.43,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,381.86,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.16,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,404,1000000,false
"fuel_ATA-TG2B+0.5TV2C_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,372.62,1000000,false
"fuel_CANDELARIA_1_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,529,1000000,false
"fuel_CANDELARIA_1_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,533.79,1000000,false
"fuel_CANDELARIA_1_GNL_C",1970-01-01-00:00,2100-01-01-00:00,true,gnl,364.78,1000000,false
"fuel_CANDELARIA_1_GNL_D",1970-01-01-00:00,2100-01-01-00:00,true,gnl,498.52,1000000,false
"fuel_CANDELARIA_1_GNL_E",1970-01-01-00:00,2100-01-01-00:00,true,gnl,481.23,1000000,false
"fuel_CANDELARIA_1_GNL_F",1970-01-01-00:00,2100-01-01-00:00,true,gnl,593.59,1000000,false
"fuel_CANDELARIA_1_GNL_G",1970-01-01-00:00,2100-01-01-00:00,true,gnl,370.83,1000000,false
"fuel_CANDELARIA_1_GNL_INF",1970-01-01-00:00,2100-01-01-00:00,true,gnl,583.09,1000000,false
"fuel_CANDELARIA_2_GNL_A",1970-01-01-00:00,2100-01-01-00:00,true,gnl,529,1000000,false
"fuel_CANDELARIA_2_GNL_B",1970-01-01-00:00,2100-01-01-00:00,true,gnl,533.79,1000000,false
